user_id,kalori_target,kategori_lauk,sumber_karbo,deskripsi_preferensi,relevant_menus
1,395,ayam,nasi merah,panggang rendah lemak,"creamy chicken mushroom,chicken curry,chicken katsu,sempol ayam grill,chicken salted egg"
2,400,ikan,kentang,sambal pedas tanpa santan,"dori sambal ijo,gulai ikan,dori sambal matah,dori sambal ijo,ikan woku"
3,395,sapi,nasi putih,yakiniku korea bulgogi,"beef bulgogi,beef yakiniku,beef yakiniku,beef bulgogi,beef tofu teriyaki"
4,400,ayam,jagung,lada hitam pedas balado,"chicken blackpepper,ayam balado,ayam balado,bola ayam saus asam pedas,chicken ball blackpepper"
5,395,ikan,ubi,saus manis korea gochujang,"fish stick saus korea,chicken karage saus korea,dori salted egg,dori oat saus wijen,fish stick saus wijen"
6,400,ayam,kentang,kuah bening tanpa santan soto,"soto ayam spesial,opor ayam tanpa santan,soto ayam spesial,soto ayam kuning,chicken tomyum"
7,390,sapi,jagung,tumis sayuran pedas cabe garam,"sapi cabe garam,brokoli sapi lada hitam,beef yakiniku,cah sapi buncis,buncis sapi lada hitam"
8,395,ikan,nasi merah,katsu renyah crispy saus,"dori katsu,dori chips saus asam manis,dori popcorn,fish stick saus korea,fish katsu saus manis pedas"
9,400,ayam,kentang,serundeng kelapa bumbu rempah,"ayam serundeng,chicken curry,ayam maranggi,ayam maranggi,soto ayam kuning"
10,395,sapi,nasi putih,kuah bening lobak bandung,"soto bandung,soto bandung,soto bandung,soto bandung,soto betawi tanpa santan"
11,390,ayam,jagung,salad segar diet rendah kalori,"chicken katsu,chicken ball crispy,bola ayam crispy,chicken salted egg,sempol ayam grill"
12,400,ikan,kentang,gulai kuning tanpa santan bumbu,"gulai ikan,ikan acar kuning,soto ayam kuning,soto ayam spesial,dori sambal ijo"
13,395,ayam,nasi merah,saus teriyaki jepang korea,"chicken teriyaki grill,chicken karage saus korea,ayam suwir teriyaki,chicken teriyaki grill,chicken teriyaki grill"
14,400,sapi,jagung,bulgogi korea lada hitam pedas,"beef bulgogi,sapi cabe garam,bola daging saus lada hitam,brokoli sapi lada hitam,buncis sapi lada hitam"
15,390,ikan,ubi,sambal matah bali segar pedas,"dori sambal matah,dori saus mentega,chicken grill sambal matah,chicken grill sambal matah,dori sambal matah"
16,385,ayam,jagung,bayam sayuran hijau rendah lemak,"chicken katsu,chicken salted egg,sempol ayam grill,ayam balado,ayam cabe ijo"
17,400,sapi,kentang,rawon kuah hitam empuk rempah,"rawon surabaya,rawon surabaya,soto daging spesial,soto betawi,soto betawi tanpa santan"
18,395,ikan,nasi merah,balado pedas merah tidak berminyak,"dori katsu balado,dori saus mentega,fish katsu saus manis pedas,dori cabai garam,dori cabe garam"
19,390,ayam,ubi,madu manis honey panggang,"chicken karage saus korea,baked chicken honey,ayam bakar bacem,chicken teriyaki grill,chicken grill sambal matah"
20,400,ikan,jagung,woku manado kemangi pedas segar,"dori sambal matah,fish katsu saus manis pedas,dori cabai garam,dori cabe garam,fish stick saus korea"
